Loan_ID,Customer_ID,Loan_Type,Loan_Amount,Interest_Rate,Term_Months,Monthly_EMI,Branch_ID,Loan_Application_Date,Approval_Status
LOAN-11144,CUST-3513,Personal Loan,21000.0,11.5,24,983.65,BR-05,2023-10-27,Approved
LOAN-11145,CUST-1870,Home Loan,306000.0,7.0,180,2750.41,BR-03,2023-08-30,Approved
LOAN-11146,CUST-3674,Personal Loan,21000.0,13.0,36,707.57,BR-10,2023-11-20,Approved
LOAN-11147,CUST-1258,Auto Loan,46000.0,5.0,36,1378.66,BR-09,2023-08-17,Approved
LOAN-11148,CUST-2400,Personal Loan,7000.0,11.5,48,182.62,BR-03,2025-01-24,Approved
LOAN-11149,CUST-1467,Personal Loan,28000.0,11.5,36,923.33,BR-04,2024-05-24,Approved
LOAN-11150,CUST-2858,Business Loan,66000.0,9.5,60,1386.12,BR-06,2024-04-15,Approved
LOAN-11151,CUST-2732,Personal Loan,30000.0,10.5,48,768.1,BR-09,2024-03-01,Approved
LOAN-11152,CUST-3264,Home Loan,428000.0,8.5,120,5306.59,BR-02,2023-07-01,Rejected
LOAN-11153,CUST-3596,Auto Loan,25000.0,6.0,72,414.32,BR-10,2023-03-15,Approved
LOAN-11154,CUST-2983,Auto Loan,26000.0,9.5,48,653.2,BR-06,2023-01-13,Approved
LOAN-11155,CUST-1979,Personal Loan,8000.0,13.0,36,269.55,BR-01,2023-10-22,Rejected
LOAN-11156,CUST-1304,Auto Loan,38000.0,6.0,36,1156.03,BR-05,2024-12-03,Approved
LOAN-11157,CUST-2080,Personal Loan,23000.0,13.0,24,1093.46,BR-06,2024-12-09,Approved
LOAN-11158,CUST-3468,Education Loan,19000.0,7.5,120,225.53,BR-10,2023-02-06,Approved
LOAN-11159,CUST-1806,Personal Loan,34000.0,11.5,12,3012.91,BR-09,2023-01-23,Approved
LOAN-11160,CUST-3744,Home Loan,282000.0,8.5,180,2776.97,BR-06,2023-11-14,Approved
LOAN-11161,CUST-1593,Auto Loan,55000.0,9.5,36,1761.81,BR-07,2023-03-13,Rejected
LOAN-11162,CUST-1753,Education Loan,14000.0,7.5,120,166.18,BR-06,2023-08-21,Approved
LOAN-11163,CUST-1143,Business Loan,31000.0,8.5,36,978.59,BR-02,2023-08-28,Rejected
LOAN-11164,CUST-2979,Education Loan,23000.0,9.0,120,291.35,BR-09,2023-01-10,Rejected
LOAN-11165,CUST-2579,Auto Loan,32000.0,6.0,72,530.33,BR-02,2023-10-12,Approved
LOAN-11166,CUST-2761,Personal Loan,26000.0,10.5,24,1205.78,BR-05,2023-10-30,Approved
LOAN-11167,CUST-3235,Education Loan,42000.0,9.0,60,871.85,BR-09,2023-01-17,Approved
LOAN-11168,CUST-2313,Auto Loan,43000.0,9.5,72,785.81,BR-02,2023-04-01,Rejected
LOAN-11169,CUST-1586,Personal Loan,18000.0,13.0,12,1607.71,BR-08,2023-12-18,Approved
LOAN-11170,CUST-2480,Auto Loan,25000.0,5.0,48,575.73,BR-01,2023-02-10,Approved
LOAN-11171,CUST-2952,Auto Loan,25000.0,6.0,36,760.55,BR-09,2023-04-20,Approved
LOAN-11172,CUST-3809,Personal Loan,30000.0,13.0,36,1010.82,BR-04,2023-02-19,Rejected
LOAN-11173,CUST-1659,Education Loan,30000.0,6.5,84,445.48,BR-05,2023-11-09,Approved
LOAN-11174,CUST-3508,Home Loan,96000.0,8.5,180,945.35,BR-02,2025-04-08,Approved
LOAN-11175,CUST-2548,Home Loan,113000.0,7.0,120,1312.03,BR-03,2024-04-04,Approved
LOAN-11176,CUST-3393,Education Loan,39000.0,13.5,120,593.87,BR-03,2023-02-09,Rejected
LOAN-11177,CUST-3073,Auto Loan,42000.0,7.5,72,726.18,BR-03,2023-06-16,Rejected
LOAN-11178,CUST-1244,Auto Loan,33000.0,6.0,60,637.98,BR-02,2023-03-09,Approved
LOAN-11179,CUST-3654,Education Loan,39000.0,7.5,60,781.48,BR-04,2023-03-06,Approved
LOAN-11180,CUST-1755,Personal Loan,6000.0,11.5,12,531.69,BR-04,2024-04-05,Approved
LOAN-11181,CUST-2923,Auto Loan,20000.0,9.5,60,420.04,BR-05,2024-09-17,Rejected
LOAN-11182,CUST-2913,Auto Loan,19000.0,7.5,48,459.4,BR-02,2023-12-08,Approved
LOAN-11183,CUST-3181,Auto Loan,30000.0,6.0,72,497.19,BR-05,2025-07-04,Rejected
LOAN-11184,CUST-1484,Business Loan,97000.0,8.5,60,1990.1,BR-05,2023-08-29,Approved
LOAN-11185,CUST-1350,Personal Loan,7000.0,11.5,60,153.95,BR-06,2024-03-03,Approved
LOAN-11186,CUST-2537,Personal Loan,34000.0,11.5,12,3012.91,BR-10,2024-06-14,Approved
LOAN-11187,CUST-1991,Personal Loan,18000.0,10.5,60,386.89,BR-04,2023-04-14,Approved
LOAN-11188,CUST-3920,Auto Loan,42000.0,7.5,36,1306.46,BR-07,2023-10-20,Rejected
LOAN-11189,CUST-2671,Home Loan,181000.0,13.0,180,2290.09,BR-10,2024-02-27,Rejected
LOAN-11190,CUST-1762,Auto Loan,54000.0,9.5,36,1729.78,BR-02,2023-01-05,Rejected
LOAN-11191,CUST-1047,Personal Loan,15000.0,15.0,36,519.98,BR-08,2024-10-08,Rejected
LOAN-11192,CUST-2401,Home Loan,330000.0,7.0,180,2966.13,BR-08,2023-01-01,Approved
LOAN-11193,CUST-2185,Personal Loan,20000.0,10.5,48,512.07,BR-09,2023-01-27,Approved
LOAN-11194,CUST-2642,Education Loan,17000.0,7.5,60,340.65,BR-08,2023-05-18,Approved
LOAN-11195,CUST-3308,Home Loan,350000.0,10.5,120,4722.72,BR-06,2023-02-03,Approved
LOAN-11196,CUST-1258,Education Loan,40000.0,6.5,60,782.65,BR-03,2025-07-25,Approved
LOAN-11197,CUST-1452,Personal Loan,27000.0,11.5,36,890.35,BR-07,2023-01-08,Approved
LOAN-11198,CUST-1166,Education Loan,12000.0,9.0,84,193.07,BR-04,2023-09-06,Approved
LOAN-11199,CUST-1023,Education Loan,20000.0,6.5,120,227.1,BR-05,2024-10-31,Approved
LOAN-11200,CUST-2833,Auto Loan,21000.0,5.0,48,483.62,BR-05,2024-10-25,Approved
LOAN-11201,CUST-2017,Auto Loan,50000.0,5.0,36,1498.54,BR-08,2023-09-03,Approved
LOAN-11202,CUST-3116,Personal Loan,25000.0,10.5,36,812.56,BR-04,2023-06-21,Approved
LOAN-11203,CUST-2471,Personal Loan,29000.0,11.5,48,756.58,BR-08,2023-09-27,Approved
LOAN-11204,CUST-1920,Auto Loan,32000.0,6.0,36,973.5,BR-04,2024-05-27,Approved
LOAN-11205,CUST-2785,Auto Loan,38000.0,5.0,36,1138.89,BR-01,2023-03-17,Approved
LOAN-11206,CUST-2948,Personal Loan,22000.0,13.0,36,741.27,BR-06,2023-03-27,Approved
LOAN-11207,CUST-1593,Auto Loan,35000.0,9.5,72,639.61,BR-10,2023-01-16,Rejected
LOAN-11208,CUST-1541,Personal Loan,24000.0,17.5,24,1192.39,BR-08,2023-08-22,Rejected
LOAN-11209,CUST-1507,Auto Loan,42000.0,12.0,60,934.27,BR-02,2023-11-28,Rejected
LOAN-11210,CUST-3749,Auto Loan,57000.0,7.5,60,1142.16,BR-03,2023-06-12,Approved
LOAN-11211,CUST-1833,Business Loan,122000.0,8.5,60,2503.02,BR-03,2023-01-14,Approved
LOAN-11212,CUST-3222,Education Loan,38000.0,7.5,60,761.44,BR-02,2023-11-07,Approved
LOAN-11213,CUST-2575,Home Loan,366000.0,6.0,240,2622.14,BR-01,2023-05-29,Rejected
LOAN-11214,CUST-3985,Personal Loan,13000.0,15.0,12,1173.36,BR-09,2024-05-08,Approved
LOAN-11215,CUST-3197,Home Loan,166000.0,10.5,240,1657.31,BR-10,2023-06-16,Approved
LOAN-11216,CUST-1922,Business Loan,75000.0,13.0,36,2527.05,BR-02,2023-12-07,Rejected
LOAN-11217,CUST-3083,Home Loan,214000.0,7.0,180,1923.49,BR-06,2023-11-05,Approved
LOAN-11218,CUST-1452,Auto Loan,31000.0,6.0,72,513.76,BR-04,2023-02-22,Approved
LOAN-11219,CUST-3623,Home Loan,140000.0,10.5,240,1397.73,BR-09,2023-03-28,Rejected
LOAN-11220,CUST-3374,Personal Loan,10000.0,11.5,48,260.89,BR-03,2023-09-11,Rejected
LOAN-11221,CUST-1235,Personal Loan,18000.0,13.0,60,409.56,BR-05,2023-05-22,Approved
LOAN-11222,CUST-1270,Home Loan,89000.0,7.0,180,799.96,BR-04,2023-07-02,Approved
LOAN-11223,CUST-1914,Education Loan,17000.0,13.5,84,313.9,BR-03,2024-01-11,Rejected
LOAN-11224,CUST-3859,Personal Loan,16000.0,11.5,60,351.88,BR-10,2023-01-24,Rejected
LOAN-11225,CUST-3688,Personal Loan,35000.0,15.0,48,974.08,BR-08,2024-02-16,Approved
LOAN-11226,CUST-2943,Education Loan,39000.0,6.5,120,442.84,BR-05,2023-04-08,Approved
LOAN-11227,CUST-1070,Personal Loan,8000.0,10.5,12,705.19,BR-07,2023-08-09,Approved
LOAN-11228,CUST-2576,Home Loan,343000.0,7.0,360,2281.99,BR-04,2023-03-30,Approved
LOAN-11229,CUST-3301,Home Loan,394000.0,7.0,120,4574.67,BR-03,2023-06-21,Approved
LOAN-11230,CUST-3540,Personal Loan,21000.0,13.0,12,1875.66,BR-09,2023-06-08,Approved
LOAN-11231,CUST-3963,Personal Loan,31000.0,11.5,36,1022.26,BR-06,2023-03-22,Approved
LOAN-11232,CUST-3127,Personal Loan,17000.0,15.0,12,1534.39,BR-08,2024-07-03,Rejected
LOAN-11233,CUST-3069,Personal Loan,12000.0,13.0,60,273.04,BR-06,2023-07-12,Rejected
LOAN-11234,CUST-2320,Education Loan,32000.0,6.5,84,475.18,BR-01,2023-09-14,Approved
LOAN-11235,CUST-3795,Personal Loan,32000.0,15.0,12,2888.27,BR-02,2024-05-23,Approved
LOAN-11236,CUST-2459,Personal Loan,7000.0,15.0,36,242.66,BR-05,2023-04-25,Approved
LOAN-11237,CUST-3661,Personal Loan,34000.0,10.5,24,1576.79,BR-01,2023-12-04,Approved
LOAN-11238,CUST-1200,Auto Loan,38000.0,9.5,60,798.07,BR-10,2024-02-25,Approved
LOAN-11239,CUST-1114,Home Loan,100000.0,10.5,240,998.38,BR-09,2023-09-15,Approved
LOAN-11240,CUST-2488,Personal Loan,28000.0,10.5,48,716.89,BR-05,2023-02-05,Approved
LOAN-11241,CUST-3879,Auto Loan,46000.0,5.0,36,1378.66,BR-08,2024-07-19,Approved
LOAN-11242,CUST-3083,Auto Loan,37000.0,6.0,72,613.2,BR-08,2023-01-22,Rejected
LOAN-11243,CUST-1006,Business Loan,120000.0,11.0,60,2609.09,BR-06,2024-12-04,Approved
LOAN-11244,CUST-2038,Auto Loan,44000.0,6.0,48,1033.34,BR-10,2023-04-29,Approved
LOAN-11245,CUST-1744,Auto Loan,22000.0,5.0,72,354.31,BR-10,2024-04-08,Approved
LOAN-11246,CUST-2674,Business Loan,105000.0,13.0,60,2389.07,BR-06,2023-12-19,Rejected
LOAN-11247,CUST-1905,Education Loan,37000.0,9.0,120,468.7,BR-04,2023-04-26,Approved
LOAN-11248,CUST-1458,Personal Loan,19000.0,17.5,60,477.32,BR-05,2023-11-15,Rejected
LOAN-11249,CUST-1590,Auto Loan,53000.0,9.5,60,1113.1,BR-07,2024-04-09,Approved
LOAN-11250,CUST-2624,Personal Loan,22000.0,11.5,24,1030.49,BR-01,2023-07-05,Approved
LOAN-11251,CUST-2781,Auto Loan,19000.0,5.0,72,305.99,BR-01,2023-12-17,Approved
LOAN-11252,CUST-1879,Personal Loan,12000.0,10.5,60,257.93,BR-04,2023-07-26,Approved
LOAN-11253,CUST-2374,Home Loan,86000.0,13.0,120,1284.07,BR-04,2023-02-25,Rejected
LOAN-11254,CUST-2391,Auto Loan,43000.0,5.0,36,1288.75,BR-01,2023-11-11,Approved
LOAN-11255,CUST-1756,Auto Loan,49000.0,6.0,60,947.31,BR-06,2024-10-12,Approved
LOAN-11256,CUST-3154,Personal Loan,15000.0,15.0,24,727.3,BR-06,2025-02-27,Approved
LOAN-11257,CUST-2495,Home Loan,154000.0,7.0,120,1788.07,BR-05,2023-04-26,Approved
LOAN-11258,CUST-3176,Auto Loan,43000.0,5.0,48,990.26,BR-01,2024-01-13,Approved
LOAN-11259,CUST-2249,Personal Loan,11000.0,13.0,48,295.1,BR-01,2023-01-24,Approved
LOAN-11260,CUST-2035,Personal Loan,13000.0,11.5,36,428.69,BR-02,2023-04-01,Approved
LOAN-11261,CUST-1459,Auto Loan,53000.0,6.0,36,1612.36,BR-01,2023-07-31,Approved
LOAN-11262,CUST-2851,Personal Loan,18000.0,13.0,60,409.56,BR-06,2023-03-26,Approved
LOAN-11263,CUST-3882,Home Loan,199000.0,7.0,180,1788.67,BR-02,2023-12-19,Approved
LOAN-11264,CUST-3877,Education Loan,41000.0,11.0,60,891.44,BR-10,2023-07-04,Rejected
LOAN-11265,CUST-3740,Business Loan,128000.0,8.5,120,1587.02,BR-03,2023-03-08,Approved
LOAN-11266,CUST-3667,Auto Loan,48000.0,9.5,36,1537.58,BR-03,2024-12-04,Approved
LOAN-11267,CUST-1158,Home Loan,370000.0,8.5,240,3210.95,BR-04,2023-09-30,Approved
LOAN-11268,CUST-2628,Auto Loan,47000.0,5.0,72,756.93,BR-05,2023-05-24,Approved
LOAN-11269,CUST-1247,Home Loan,112000.0,13.0,120,1672.28,BR-04,2024-01-31,Rejected
LOAN-11270,CUST-1082,Auto Loan,24000.0,9.5,48,602.96,BR-10,2023-03-07,Rejected
LOAN-11271,CUST-2603,Personal Loan,23000.0,11.5,60,505.83,BR-10,2024-03-09,Approved
LOAN-11272,CUST-2317,Home Loan,130000.0,8.5,180,1280.16,BR-08,2023-01-13,Rejected
LOAN-11273,CUST-1925,Business Loan,76000.0,9.5,48,1909.36,BR-08,2023-10-16,Approved
LOAN-11274,CUST-3242,Personal Loan,25000.0,10.5,12,2203.72,BR-03,2023-11-03,Approved
LOAN-11275,CUST-3099,Education Loan,8000.0,9.0,84,128.71,BR-01,2024-03-10,Rejected
LOAN-11276,CUST-2217,Business Loan,94000.0,8.5,48,2316.94,BR-10,2023-07-04,Approved
LOAN-11277,CUST-1285,Auto Loan,55000.0,7.5,72,950.96,BR-03,2023-05-21,Approved
LOAN-11278,CUST-2779,Auto Loan,56000.0,7.5,72,968.25,BR-01,2023-09-10,Approved
LOAN-11279,CUST-1233,Auto Loan,54000.0,9.5,36,1729.78,BR-09,2023-06-01,Rejected
LOAN-11280,CUST-1187,Business Loan,69000.0,13.0,60,1569.96,BR-09,2023-06-06,Approved
LOAN-11281,CUST-2367,Personal Loan,25000.0,15.0,12,2256.46,BR-05,2023-05-23,Approved
LOAN-11282,CUST-1697,Education Loan,16000.0,6.5,84,237.59,BR-02,2023-03-02,Rejected
LOAN-11283,CUST-2171,Business Loan,132000.0,9.5,48,3316.25,BR-10,2023-07-26,Approved
LOAN-11284,CUST-2986,Personal Loan,6000.0,13.0,48,160.96,BR-02,2023-03-18,Rejected
LOAN-11285,CUST-1012,Home Loan,387000.0,6.0,360,2320.26,BR-07,2025-02-26,Rejected
LOAN-11286,CUST-2650,Personal Loan,16000.0,11.5,48,417.42,BR-01,2023-09-17,Approved
LOAN-11287,CUST-2123,Home Loan,324000.0,10.5,180,3581.49,BR-01,2023-02-02,Rejected
LOAN-11288,CUST-1911,Personal Loan,28000.0,10.5,24,1298.53,BR-01,2023-12-14,Approved
LOAN-11289,CUST-2945,Personal Loan,12000.0,11.5,48,313.07,BR-06,2023-02-15,Approved
LOAN-11290,CUST-2357,Education Loan,27000.0,7.5,120,320.49,BR-02,2024-05-09,Approved
LOAN-11291,CUST-1656,Auto Loan,20000.0,5.0,60,377.42,BR-07,2024-02-13,Approved
LOAN-11292,CUST-2973,Auto Loan,23000.0,6.0,36,699.7,BR-07,2023-04-27,Rejected
LOAN-11293,CUST-1386,Personal Loan,31000.0,15.0,24,1503.09,BR-03,2023-02-25,Approved
LOAN-11294,CUST-3311,Personal Loan,6000.0,10.5,60,128.96,BR-09,2024-12-15,Approved
LOAN-11295,CUST-1354,Auto Loan,52000.0,6.0,48,1221.22,BR-06,2023-08-23,Approved
LOAN-11296,CUST-1489,Business Loan,73000.0,13.0,60,1660.97,BR-06,2023-03-11,Rejected
LOAN-11297,CUST-2914,Personal Loan,33000.0,13.0,12,2947.47,BR-05,2023-06-29,Rejected
LOAN-11298,CUST-1645,Home Loan,274000.0,10.5,240,2735.56,BR-04,2024-06-01,Rejected
LOAN-11299,CUST-3214,Education Loan,39000.0,7.5,84,598.19,BR-02,2023-12-21,Approved
LOAN-11300,CUST-2026,Personal Loan,16000.0,13.0,24,760.67,BR-04,2024-04-07,Approved
LOAN-11301,CUST-2306,Auto Loan,19000.0,5.0,48,437.56,BR-02,2024-01-28,Approved
LOAN-11302,CUST-1219,Personal Loan,12000.0,10.5,12,1057.78,BR-07,2023-12-08,Rejected
LOAN-11303,CUST-2420,Home Loan,338000.0,6.0,360,2026.48,BR-07,2023-04-24,Approved
LOAN-11304,CUST-2262,Personal Loan,7000.0,13.0,36,235.86,BR-07,2023-12-29,Rejected
LOAN-11305,CUST-1705,Education Loan,43000.0,9.0,84,691.83,BR-04,2024-01-04,Approved
LOAN-11306,CUST-3841,Business Loan,77000.0,11.0,120,1060.68,BR-07,2023-03-02,Approved
LOAN-11307,CUST-1715,Auto Loan,49000.0,6.0,36,1490.67,BR-07,2023-10-16,Approved
LOAN-11308,CUST-2898,Personal Loan,28000.0,13.0,48,751.17,BR-01,2023-05-16,Approved
LOAN-11309,CUST-1189,Home Loan,354000.0,8.5,120,4389.09,BR-05,2023-04-30,Approved
LOAN-11310,CUST-1812,Personal Loan,34000.0,13.0,48,912.13,BR-01,2025-01-28,Approved
LOAN-11311,CUST-3244,Home Loan,351000.0,10.5,120,4736.22,BR-03,2023-07-16,Rejected
LOAN-11312,CUST-2910,Home Loan,138000.0,7.0,120,1602.3,BR-08,2024-11-01,Approved
LOAN-11313,CUST-3663,Personal Loan,18000.0,11.5,36,593.57,BR-10,2023-12-30,Approved
LOAN-11314,CUST-2450,Education Loan,36000.0,9.0,60,747.3,BR-01,2023-05-06,Rejected
LOAN-11315,CUST-2283,Home Loan,138000.0,7.0,120,1602.3,BR-08,2023-10-02,Approved
LOAN-11316,CUST-3672,Personal Loan,29000.0,15.0,48,807.09,BR-01,2024-10-14,Rejected
LOAN-11317,CUST-2339,Personal Loan,18000.0,10.5,36,585.04,BR-10,2023-06-25,Approved
LOAN-11318,CUST-2007,Auto Loan,52000.0,7.5,60,1041.97,BR-07,2023-02-13,Approved
LOAN-11319,CUST-3863,Personal Loan,16000.0,11.5,24,749.45,BR-05,2023-05-01,Approved
LOAN-11320,CUST-1994,Auto Loan,40000.0,9.5,60,840.07,BR-08,2024-01-16,Rejected
LOAN-11321,CUST-3975,Education Loan,36000.0,9.0,60,747.3,BR-03,2024-01-29,Approved
LOAN-11322,CUST-3025,Personal Loan,25000.0,10.5,36,812.56,BR-03,2023-02-13,Approved
LOAN-11323,CUST-3338,Home Loan,335000.0,8.5,180,3298.88,BR-03,2024-06-06,Rejected
LOAN-11324,CUST-2975,Auto Loan,32000.0,7.5,60,641.21,BR-04,2023-05-11,Approved
LOAN-11325,CUST-2739,Personal Loan,7000.0,17.5,36,251.31,BR-08,2025-01-25,Rejected
LOAN-11326,CUST-2434,Personal Loan,32000.0,15.0,60,761.28,BR-09,2024-05-04,Rejected
LOAN-11327,CUST-2613,Home Loan,202000.0,8.5,180,1989.17,BR-03,2023-01-22,Approved
LOAN-11328,CUST-2731,Personal Loan,5000.0,13.0,48,134.14,BR-05,2023-09-17,Rejected
LOAN-11329,CUST-1216,Education Loan,32000.0,6.5,84,475.18,BR-02,2023-02-23,Approved
LOAN-11330,CUST-2475,Home Loan,196000.0,13.0,240,2296.29,BR-06,2023-10-14,Rejected
LOAN-11331,CUST-3033,Auto Loan,22000.0,6.0,48,516.67,BR-01,2023-01-03,Rejected
LOAN-11332,CUST-1493,Personal Loan,28000.0,10.5,48,716.89,BR-07,2023-01-27,Approved
LOAN-11333,CUST-1060,Personal Loan,7000.0,13.0,48,187.79,BR-07,2023-04-09,Approved
LOAN-11334,CUST-3206,Auto Loan,26000.0,7.5,60,520.99,BR-07,2024-06-17,Approved
LOAN-11335,CUST-2290,Business Loan,80000.0,8.5,36,2525.4,BR-06,2025-02-17,Approved
LOAN-11336,CUST-1545,Auto Loan,54000.0,7.5,60,1082.05,BR-02,2023-02-19,Approved
LOAN-11337,CUST-3108,Personal Loan,31000.0,13.0,60,705.35,BR-09,2023-02-12,Approved
LOAN-11338,CUST-1590,Personal Loan,23000.0,15.0,36,797.3,BR-08,2024-04-02,Approved
LOAN-11339,CUST-2708,Home Loan,436000.0,7.0,240,3380.3,BR-06,2023-05-16,Approved
LOAN-11340,CUST-3734,Personal Loan,32000.0,15.0,12,2888.27,BR-05,2023-01-10,Approved
LOAN-11341,CUST-2187,Home Loan,155000.0,10.5,120,2091.49,BR-04,2023-04-17,Rejected
LOAN-11342,CUST-3987,Business Loan,95000.0,8.5,48,2341.59,BR-10,2023-06-26,Approved
LOAN-11343,CUST-3036,Auto Loan,34000.0,5.0,48,783.0,BR-07,2023-11-06,Approved
LOAN-11344,CUST-3371,Personal Loan,26000.0,13.0,60,591.58,BR-09,2023-02-24,Approved
LOAN-11345,CUST-1638,Auto Loan,34000.0,5.0,48,783.0,BR-04,2023-01-20,Approved
LOAN-11346,CUST-1107,Home Loan,416000.0,7.0,240,3225.24,BR-04,2023-03-18,Approved
LOAN-11347,CUST-1026,Education Loan,17000.0,7.5,60,340.65,BR-06,2024-05-27,Rejected
LOAN-11348,CUST-1517,Auto Loan,48000.0,7.5,72,829.93,BR-02,2023-02-21,Approved
LOAN-11349,CUST-2041,Auto Loan,31000.0,7.5,60,621.18,BR-10,2023-03-04,Approved
LOAN-11350,CUST-2490,Auto Loan,35000.0,7.5,36,1088.72,BR-06,2025-03-02,Rejected
LOAN-11351,CUST-1223,Personal Loan,8000.0,11.5,12,708.92,BR-01,2024-09-30,Approved
LOAN-11352,CUST-2263,Home Loan,86000.0,8.5,120,1066.28,BR-10,2023-12-05,Approved
LOAN-11353,CUST-2765,Personal Loan,18000.0,15.0,12,1624.65,BR-02,2024-02-16,Rejected
LOAN-11354,CUST-1023,Auto Loan,26000.0,5.0,72,418.73,BR-01,2023-04-29,Approved
LOAN-11355,CUST-1302,Business Loan,29000.0,8.5,120,359.56,BR-01,2023-05-23,Approved
LOAN-11356,CUST-1691,Education Loan,20000.0,13.5,60,460.2,BR-08,2023-08-30,Rejected
LOAN-11357,CUST-3922,Personal Loan,21000.0,17.5,60,527.57,BR-01,2023-07-04,Rejected
LOAN-11358,CUST-1078,Auto Loan,41000.0,6.0,36,1247.3,BR-10,2023-03-06,Rejected
LOAN-11359,CUST-2193,Personal Loan,10000.0,15.0,36,346.65,BR-04,2023-09-11,Rejected
LOAN-11360,CUST-1448,Personal Loan,26000.0,15.0,60,618.54,BR-07,2025-05-26,Approved
LOAN-11361,CUST-3592,Home Loan,117000.0,8.5,120,1450.63,BR-07,2023-10-24,Approved
LOAN-11362,CUST-2504,Auto Loan,31000.0,6.0,36,943.08,BR-05,2023-06-07,Approved
LOAN-11363,CUST-3030,Auto Loan,41000.0,5.0,36,1228.81,BR-01,2023-06-30,Rejected
LOAN-11364,CUST-2382,Home Loan,281000.0,6.0,120,3119.68,BR-02,2023-04-25,Rejected
LOAN-11365,CUST-3582,Auto Loan,37000.0,6.0,48,868.95,BR-08,2024-04-18,Rejected
LOAN-11366,CUST-1537,Home Loan,90000.0,10.5,240,898.54,BR-03,2023-06-12,Approved
LOAN-11367,CUST-1144,Personal Loan,12000.0,10.5,60,257.93,BR-01,2023-02-21,Rejected
LOAN-11368,CUST-1761,Home Loan,401000.0,7.0,360,2667.86,BR-04,2023-09-24,Approved
LOAN-11369,CUST-3279,Personal Loan,10000.0,11.5,48,260.89,BR-08,2024-03-31,Rejected
LOAN-11370,CUST-2592,Home Loan,114000.0,10.5,120,1538.26,BR-06,2023-07-01,Rejected
LOAN-11371,CUST-3172,Auto Loan,51000.0,7.5,60,1021.94,BR-03,2024-11-13,Rejected
LOAN-11372,CUST-2611,Personal Loan,30000.0,11.5,24,1405.21,BR-07,2023-04-20,Approved
LOAN-11373,CUST-1618,Auto Loan,24000.0,7.5,72,414.96,BR-10,2023-12-08,Approved
LOAN-11374,CUST-1642,Personal Loan,17000.0,10.5,24,788.39,BR-03,2023-08-12,Approved
LOAN-11375,CUST-2837,Home Loan,411000.0,6.0,120,4562.94,BR-08,2024-03-07,Rejected
LOAN-11376,CUST-3025,Home Loan,94000.0,6.0,180,793.23,BR-08,2023-07-19,Rejected
LOAN-11377,CUST-3526,Home Loan,163000.0,10.5,180,1801.8,BR-09,2023-07-13,Rejected
LOAN-11378,CUST-3010,Auto Loan,21000.0,9.5,48,527.59,BR-03,2023-02-04,Approved
LOAN-11379,CUST-1921,Personal Loan,28000.0,17.5,60,703.42,BR-02,2023-11-08,Approved
LOAN-11380,CUST-3715,Auto Loan,16000.0,6.0,48,375.76,BR-03,2023-04-11,Approved
LOAN-11381,CUST-3680,Auto Loan,46000.0,7.5,36,1430.89,BR-04,2023-02-15,Approved
LOAN-11382,CUST-3728,Personal Loan,9000.0,10.5,12,793.34,BR-09,2024-05-18,Approved
LOAN-11383,CUST-2211,Home Loan,317000.0,8.5,120,3930.35,BR-07,2023-04-08,Approved
LOAN-11384,CUST-2522,Personal Loan,20000.0,10.5,24,927.52,BR-07,2023-02-08,Approved
LOAN-11385,CUST-1121,Personal Loan,26000.0,11.5,60,571.81,BR-09,2023-07-18,Approved
LOAN-11386,CUST-3354,Auto Loan,27000.0,6.0,72,447.47,BR-04,2023-01-16,Approved
LOAN-11387,CUST-1780,Personal Loan,30000.0,13.0,24,1426.25,BR-10,2024-03-01,Approved
LOAN-11388,CUST-3586,Business Loan,92000.0,9.5,60,1932.17,BR-03,2023-03-24,Approved
LOAN-11389,CUST-1409,Auto Loan,44000.0,5.0,60,830.33,BR-04,2024-05-29,Rejected
LOAN-11390,CUST-1671,Auto Loan,18000.0,7.5,48,435.22,BR-01,2023-03-03,Approved
LOAN-11391,CUST-2999,Auto Loan,36000.0,7.5,60,721.37,BR-10,2025-04-19,Approved
LOAN-11392,CUST-3981,Education Loan,22000.0,11.0,84,376.69,BR-09,2023-02-27,Approved
LOAN-11393,CUST-3298,Auto Loan,46000.0,9.5,72,840.64,BR-02,2023-05-22,Approved
LOAN-11394,CUST-3602,Auto Loan,38000.0,9.5,60,798.07,BR-10,2023-06-09,Rejected
LOAN-11395,CUST-3514,Personal Loan,14000.0,13.0,48,375.58,BR-01,2023-09-10,Approved
LOAN-11396,CUST-3051,Auto Loan,17000.0,5.0,48,391.5,BR-10,2023-11-09,Approved
LOAN-11397,CUST-2952,Business Loan,69000.0,9.5,36,2210.27,BR-01,2024-08-26,Approved
LOAN-11398,CUST-3910,Education Loan,18000.0,7.5,60,360.68,BR-06,2024-01-24,Approved
LOAN-11399,CUST-3971,Personal Loan,6000.0,13.0,24,285.25,BR-09,2023-06-10,Rejected
LOAN-11400,CUST-2637,Education Loan,13000.0,9.0,60,269.86,BR-10,2024-08-15,Approved
LOAN-11401,CUST-3089,Auto Loan,45000.0,6.0,60,869.98,BR-02,2023-05-04,Approved
LOAN-11402,CUST-3536,Education Loan,31000.0,6.5,60,606.55,BR-03,2023-07-17,Approved
LOAN-11403,CUST-2076,Personal Loan,29000.0,11.5,36,956.3,BR-01,2023-01-31,Approved
LOAN-11404,CUST-3559,Home Loan,184000.0,6.0,180,1552.7,BR-09,2023-06-04,Approved
